,%top,ER1,ER2,ER3,ER4,ER5,ER6,ER7,EZ,LMW,LVR1,LVR1+4,LVR1+4/3+6,LVR2,LVR3,LVR3+6,LVR4,LVR5,LVR6,LVR7,LVWhole,RS,Rh source,SStoutR1,SStoutR2,SStoutR3,SStoutR4,Type,VB,boron reagent,equivs boron reagent,ligand,mol% Rh,mol% ligand,solvent,substrate,temp,time,yield
139,13,0,0,0,-0.17,0,0,-0.15,0,220.1827154,64.9564121,86.53062679,86.53062679,0,0,0,21.5742147,0,0,84.57992612,243.0006285,0.5,PI/CB Rh/Ag 9 ,22.51198396,21.5742147,0,0,Lam,134.6239983,OB(O)C1=CC=CC=C1,1.5,L3.74,0.75,1,toluene,O=C1C=CCC1,100,7,86
140,98.25,0,0,0,0,-0.17,0,-0.27,0,268.1827154,0,0,0,0,0,111.4802755,0,21.5742147,111.4802755,76.07416785,281.0187336,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,160.7102105,OB(O)C1=CC=C(OC)C=C1,2,L3.52,1,2.2,DCM,O=C1C=CCCC1,25,1,83
141,7.5,0.12,-0.17,0,0.12,0,0,-0.17,0,382.1255061,109.3953583,218.7907166,218.7907166,0,0,0,109.3953583,21.5742147,0,54.84795567,361.764733,1,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,160.7102105,OB(O)C1=CC=C(OC)C=C1,1.5,L3.16,2.5,6,dioxane,O=C1C=CCCC1,50,3,98
142,0.9,0,0,0,-0.17,0,0,-0.15,0,220.1827154,64.9564121,86.53062679,86.53062679,0,0,0,21.5742147,0,0,84.57992612,243.0006285,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,160.7102105,OB(O)C1=CC=C(OC)C=C1,1.5,L3.74,1.5,3.3,dioxane,O=C1C=CCCC1,30,1,98
143,2,0,0,0.07,0,-0.17,-0.12,-0.27,0,246.1983655,0,0,0,0,36.23374097,109.6959113,0,21.5742147,73.46217037,76.07416785,274.95614,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,160.7102105,OB(O)C1=CC=C(OC)C=C1,2,L3.69,1.5,3.3,dioxane,O=C1C=CCCC1,50,0.1,85
144,2.5,-0.09,0,0,-0.09,0,0,0,0,272.1565006,94.18429025,188.3685805,188.3685805,0,0,0,94.18429025,0,0,20.25598522,279.4546413,1,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,426.2905738,COC(C=C1)=CC=C1B2OB(C3=CC=C(OC)C=C3)OB(C4=CC=C(OC)C=C4)O2,2,L3.1,1.5,3,dioxane,O=C1C=CCCC1,30,1,89
145,2,0.26,-0.17,0,0.26,0,0,-0.17,0,376.1423071,102.8290606,205.6581212,205.6581212,0,0,0,102.8290606,21.5742147,0,54.84795567,348.6321376,1,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,170.1226604,FC(C1=CC(B(O)O)=CC=C1)(F)F,2,L3.14,1.5,3.6,EtOH,O=C1C=CCCC1,30,1,96
146,1.5,-0.09,0,0,-0.09,0,0,0,0,272.1565006,94.18429025,188.3685805,188.3685805,0,0,0,94.18429025,0,0,20.25598522,279.4546413,1,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,426.2905738,COC1=CC(B2OB(C3=CC=CC(OC)=C3)OB(C4=CC(OC)=CC=C4)O2)=CC=C1,2,L3.1,1.5,3,dioxane/H2O,O=C1C=CCCC1,30,1,92
147,3.5,-0.09,0,0,-0.09,0,0,0,0,272.1565006,94.18429025,188.3685805,188.3685805,0,0,0,94.18429025,0,0,20.25598522,279.4546413,1,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,393.6651414,ClC1=CC(B2OB(C3=CC=CC(Cl)=C3)OB(C4=CC(Cl)=CC=C4)O2)=CC=C1,2,L3.1,1.5,3,dioxane/H2O,O=C1C=CCCC1,50,1,92
148,2,-0.09,0,0,-0.09,0,0,0,0,272.1565006,94.18429025,188.3685805,188.3685805,0,0,0,94.18429025,0,0,20.25598522,279.4546413,1,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,399.919893,CC(C=C1)=CC=C1B2OB(C3=CC=C(C)C=C3)OB(C4=CC=C(C)C=C4)O2,2,L3.1,1.5,3,dioxane/H2O,O=C1C=CCCC1,30,1,88
149,1.5,0,0,0,-0.17,0,0,-0.15,0,220.1827154,64.9564121,86.53062679,86.53062679,0,0,0,21.5742147,0,0,84.57992612,243.0006285,0.5,PI/CB Rh/Ag 15,22.51198396,19.43509996,0,0,Lam,203.8079392,CC(C1=CC=C(B(O)O)C=C1)(C)C,1.5,L3.74,0.75,1,toluene/H2O,O=C1C=CCCC1,100,24,89
150,99,0,0,0,0,-0.17,0,-0.27,0,268.1827154,0,0,0,0,0,111.4802755,0,21.5742147,111.4802755,76.07416785,281.0187336,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,140.6915573,FC1=CC=C(B(O)O)C=C1,2,L3.52,1,2.2,MeOH/CH2Cl2,O=C1C=CCCC1,25,1,84
151,1,0,0,0,-0.17,0,0,-0.15,0,220.1827154,64.9564121,86.53062679,86.53062679,0,0,0,21.5742147,0,0,84.57992612,243.0006285,0.5,[Rh(C2H4)2Cl]2,22.51198396,18.72206172,0,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,1.5,L3.74,1.5,3.3,dioxane/H2O,O=C1C=CCCCC1,50,1,94
152,1,0,0,0,-0.17,0,0,-0.15,0,220.1827154,64.9564121,86.53062679,86.53062679,0,0,0,21.5742147,0,0,84.57992612,243.0006285,0.5,PI/CB Rh/Ag 9,22.51198396,19.43509996,0,0,Lam,140.6915573,FC1=CC=C(B(O)O)C=C1,1.5,L3.74,0.75,1,toluene/H2O,O=C1C=CCCC1,100,24,87
153,1.5,-0.09,0,0,-0.09,0,0,0,0,272.1565006,94.18429025,188.3685805,188.3685805,0,0,0,94.18429025,0,0,20.25598522,279.4546413,1,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,366.2346142,FC(C=C1)=CC=C1B2OB(C3=CC=C(F)C=C3)OB(C4=CC=C(F)C=C4)O2,2,L3.1,1.5,3,dioxane/H2O,O=C1C=CCCC1,50,1,91
154,96.5,0,0,0,0,-0.17,0,-0.27,0,268.1827154,0,0,0,0,0,111.4802755,0,21.5742147,111.4802755,76.07416785,281.0187336,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,149.8350664,ClC1=CC=C(B(O)O)C=C1,2,L3.52,1,2.2,MeOH/CH2Cl2,O=C1C=CCCC1,25,1,77
155,1.5,0,0,0,-0.17,0,0,-0.15,0,220.1827154,64.9564121,86.53062679,86.53062679,0,0,0,21.5742147,0,0,84.57992612,243.0006285,0.5,PI/CB Rh/Ag 9,22.51198396,19.43509996,0,0,Lam,169.2159688,CC1=CC(B(O)O)=CC(C)=C1,1.5,L3.74,0.75,1,toluene/H2O,O=C1C=CCCC1,100,11,96
156,87.5,0,0,0,0,-0.17,0,-0.27,0,268.1827154,0,0,0,0,0,111.4802755,0,21.5742147,111.4802755,76.07416785,281.0187336,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,175.2785624,OB(C1=CC=CC2=C1C=CC=C2)O,2,L3.52,1,2.2,MeOH/CH2Cl2,O=C1C=CCCC1,25,1,45
157,2.5,0,0,0,-0.17,0,0,-0.15,0,220.1827154,64.9564121,86.53062679,86.53062679,0,0,0,21.5742147,0,0,84.57992612,243.0006285,0.5,PI/CB Rh/Ag 9,22.51198396,19.43509996,0,0,Lam,175.2785624,OB(C1=CC2=C(C=CC=C2)C=C1)O,2,L3.74,1.5,2,toluene/H2O,O=C1C=CCCC1,100,12,90
158,2,-0.09,0,0,-0.09,0,0,0,0,272.1565006,94.18429025,188.3685805,188.3685805,0,0,0,94.18429025,0,0,20.25598522,279.4546413,1,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,469.9956295,B1(C2=CC(C=CC=C3)=C3C=C2)OB(C4=CC=C(C=CC=C5)C5=C4)OB(C6=CC=C(C=CC=C7)C7=C6)O1,2,L3.1,1.5,3,dioxane/H2O,O=C1C=CCCC1,30,1,96
159,91,0,0,-0.15,0,0,-0.15,0,0,256.2191009,0,0,0,0,95.69768187,191.3953637,0,0,95.69768187,20.25598522,282.4814245,0,[Rh(C2H4)2Cl]2,22.51198396,21.5742147,0,0,Lam,134.6239983,OB(O)C1=CC=CC=C1,2,L3.8,1.5,3.3,dioxane,O=C1C=CCC1,25,16,54
160,4,0,0,0,0,0,0,0,0,248.2140155,168.7323234,168.7323234,168.7323234,0,0,0,0,0,0,32.69197045,277.5925989,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,163.1533752,CCCC/C=C/B(O)O,2,L3.19,0.5,1.1,dioxane/H2O,O=C1C=CCCC1,50,2,90
161,2,-0.09,0,0,-0.09,0,0,0,0,272.1565006,94.18429025,188.3685805,188.3685805,0,0,0,94.18429025,0,0,20.25598522,279.4546413,1,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,180.4493604,CCCCC/C=C/B(O)O,2,L3.1,5,11,dioxane/H2O,O=C1C=CCCC1,50,1,78
162,0.3,0,0,0,-0.17,0,0,-0.15,0,220.1827154,64.9564121,86.53062679,86.53062679,0,0,0,21.5742147,0,0,84.57992612,243.0006285,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,180.4493604,CCCCC/C=C/B(O)O,1.5,L3.74,1.5,3.3,dioxane/H2O,O=C1C=CCCC1,30,3,81
163,0.3,0,0,0,-0.17,0,0,-0.15,0,220.1827154,64.9564121,86.53062679,86.53062679,0,0,0,21.5742147,0,0,84.57992612,243.0006285,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,166.5795098,OB(/C=C/C1=CC=CC=C1)O,1.5,L3.74,1.5,3.3,dioxane/H2O,O=C1C=CCCC1,30,3,97
